country,Jan2019,Jun2019,Jan2020,May2020,Aug2020,Jan2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022
Algeria,1025,1025,1013,816,864,876,887,898,912,922,932,942,952,962,972,982,992,1002,1013,1023,1039,1055,1057,1055,1007
Angola,1481,1481,1481,1180,1249,1267,1283,1298,1319,1333,1348,1363,1377,1392,1406,1421,1435,1450,1465,1480,1502,1525,1529,1525,1455
Congo,315,315,311,251,266,269,273,276,281,284,287,290,293,296,300,303,306,309,312,315,320,325,325,325,310
Equatorial Guinea,123,123,122,98,104,105,107,108,110,111,112,114,115,116,117,118,120,121,122,123,125,127,127,127,121
Gabon,181,181,179,144,153,155,157,159,161,163,165,166,168,170,172,173,175,177,179,181,183,186,187,186,177
Iraq,4512,4512,4462,3592,3804,3857,3905,3954,4016,4061,4105,4149,4193,4237,4281,4325,4370,4414,4461,4509,4580,4651,4663,4651,4431
Kuwait,2724,2724,2669,2168,2297,2329,2358,2387,2425,2451,2478,2505,2532,2558,2585,2612,2639,2665,2694,2724,2768,2811,2818,2811,2676
Nigeria,1685,1774,1753,1412,1495,1516,1535,1554,1579,1596,1614,1631,1649,1666,1683,1701,1718,1735,1753,1772,1799,1826,1830,1826,1742
Saudi Arabia,10311,10311,10144,8492,8993,9119,9232,9347,9495,9600,9704,9809,9913,10018,10122,10227,10331,10436,10549,10663,10833,11004,11030,11004,10478
United Arab Emirates,3072,3072,3012,2446,2590,2626,2659,2692,2735,2765,2795,2825,2855,2885,2916,2946,2976,3006,3040,3075,3127,3179,3186,3179,3019
